Record #,Field Office ,Allegation ,Date Case Opened,Year,Final Disposition
185,CHI ,Loss of Equipment ,1/30/2003,2003,Verbal Counsel
186,DET ,Loss of Equipment ,2/5/2003,2003,Verbal Counsel
187,BOS ,Miscellaneous ,2/3/2003,2003,No Further Action
188,MIA ,Loss of Equipment ,1/15/2003,2003,Verbal Counsel
189,DAL ,Abuse of Position/Authority ,2/5/2003,2003,Letter of Reprimand
190,CLE ,Unprofessional Conduct ,2/5/2003,2003,Letter of Counsel
191,CLE ,Unprofessional Conduct ,2/5/2003,2003,Letter of Counsel
192,WFO ,Failure to Follow Procedure ,2/10/2003,2003,No Further Action
193,WFO ,Failure to Follow Procedure ,2/10/2003,2003,No Further Action
194,PIT ,Alcohol Policy Violation ,2/10/2003,2003,Suspension - 5 Day
195,CHI ,Failure to Honor Just Debts ,2/4/2003,2003,Removal
196,NYC ,Failure to Follow Procedure ,2/11/2003,2003,No Further Action
197,NWK ,Failure to Follow Procedure ,2/13/2003,2003,No Further Action
198,CLT ,Absent Without Leave ,2/8/2003,2003,Suspension - 2 Day
199,HOU ,Loss of Equipment ,2/11/2003,2003,Letter of Reprimand
200,WFO ,Sleeping on Duty ,2/10/2003,2003,No Further Action
203,CLT ,Failure to Follow Procedure ,2/20/2003,2003,No Further Action
205,CIN ,Missed Mission ,2/18/2003,2003,Resignation
206,WFO ,Unprofessional Conduct ,1/30/2003,2003,Resignation
207,WFO ,Failure to Follow Procedure ,2/20/2003,2003,Verbal Counsel
208,WFO ,Failure to Follow Procedure ,2/20/2003,2003,Verbal Counsel
209,WFO ,Sleeping on Duty ,2/13/2003,2003,Verbal Counsel
210,WFO ,Sleeping on Duty ,2/13/2003,2003,Verbal Counsel
211,DAL ,Unprofessional Conduct ,2/19/2003,2003,Verbal Counsel
212,BOS ,Loss of Equipment ,2/19/2003,2003,Verbal Counsel
213,ATL ,Misuse of Government Property ,2/21/2003,2003,Verbal Counsel
215,DET ,Failure to Follow Procedure ,2/13/2003,2003,No Further Action
216,DET ,Failure to Follow Procedure ,2/13/2003,2003,No Further Action
217,NWK ,Alcohol Policy Violation ,2/25/2003,2003,Removal
218,NWK ,Loss of Equipment ,2/28/2003,2003,Suspension - 2 Day
219,CLE ,Failure to Follow Procedure ,2/19/2003,2003,No Further Action
220,CLE ,Failure to Follow Procedure ,2/19/2003,2003,No Further Action
221,CHI ,Loss of Equipment ,2/25/2003,2003,Verbal Counsel
222,WFO ,Failure to Follow Procedure ,2/18/2003,2003,No Further Action
223,WFO ,Failure to Follow Procedure ,2/18/2003,2003,No Further Action
224,NYC ,"Fighting, Threatening, or Intimidating ",2/19/2003,2003,Removal
225,PIT ,Failure to Honor Just Debts ,1/17/2003,2003,Resignation
226,CHI ,Misuse of Government Travel Card ,2/27/2003,2003,Resignation
227,MIA ,Failure to Follow Procedure ,3/3/2003,2003,Letter of Reprimand
228,MIA ,Failure to Follow Procedure ,3/3/2003,2003,Letter of Reprimand
229,DAL ,Loss of Equipment ,2/25/2003,2003,Suspension - 2 Day
230,WFO ,Unprofessional Conduct ,3/3/2003,2003,Removal
231,DEN ,Criminal Arrest ,3/3/2003,2003,Suspension - 1 Day
232,CHI ,Loss of Equipment ,3/3/2003,2003,Verbal Counsel
234,LAS ,Loss of Equipment ,2/28/2003,2003,Verbal Counsel
235,CHI ,SSI/Classified Material Violation ,3/6/2003,2003,Verbal Counsel
236,WFO ,Criminal Arrest ,3/6/2003,2003,Suspension - 3 Day
237,CHI ,Miscellaneous ,3/6/2003,2003,No Further Action
238,DEN ,Unprofessional Conduct ,2/28/2003,2003,Resignation
239,HOU ,Unprofessional Conduct ,2/26/2003,2003,Removal
240,DET ,Security/Safety Violation ,3/6/2003,2003,No Further Action
241,LAS ,Loss of Equipment ,3/7/2003,2003,Resignation
242,SEA ,Falsification of Records ,3/10/2003,2003,Suspension - 3 Day
244,LAX ,Miscellaneous ,3/8/2003,2003,Letter of Reprimand
245,LAX ,Abuse of Position/Authority ,3/6/2003,2003,Letter of Reprimand
246,MIA ,Loss of Equipment ,3/7/2003,2003,Verbal Counsel
247,CHI ,Loss of Equipment ,2/25/2003,2003,Verbal Counsel
248,DAL ,Failure to Follow Procedure ,3/10/2003,2003,Verbal Counsel
249,DAL ,Failure to Follow Procedure ,3/10/2003,2003,Verbal Counsel
250,DAL ,Unprofessional Conduct ,3/10/2003,2003,Letter of Reprimand
251,DAL ,Unprofessional Conduct ,3/10/2003,2003,Letter of Reprimand
252,ORL ,Missed Mission ,3/10/2003,2003,Resignation
253,WFO ,Misuse of Government Property ,3/10/2003,2003,Removal
254,NYC ,Failure to Follow Procedure ,2/18/2003,2003,Verbal Counsel
255,NYC ,Failure to Follow Procedure ,2/18/2003,2003,Verbal Counsel
256,NYC ,Loss of Equipment ,2/24/2003,2003,Verbal Counsel
257,NYC ,Failure to Follow Procedure ,2/14/2003,2003,Verbal Counsel
258,NYC ,Failure to Follow Procedure ,2/14/2003,2003,Verbal Counsel
259,CHI ,Failure to Follow Procedure ,2/27/2003,2003,Verbal Counsel
260,PHL ,Loss of Equipment ,3/19/2003,2003,Verbal Counsel
261,NYC ,Unprofessional Conduct ,3/12/2003,2003,Verbal Counsel
262,CIN ,Failure to Honor Just Debts ,3/25/2003,2003,Removal
263,LAX ,Unprofessional Conduct ,3/25/2003,2003,Letter of Counsel
264,WFO ,Unprofessional Conduct ,3/25/2003,2003,Removal
265,MIA ,Alcohol Policy Violation ,3/17/2003,2003,Verbal Counsel
267,PHL ,Failure to Follow Procedure ,3/31/2003,2003,No Further Action
268,PHL ,Failure to Follow Procedure ,3/31/2003,2003,No Further Action
269,NYC ,Loss of Equipment ,3/26/2003,2003,Removal
270,DAL ,Misuse of Government Travel Card ,3/26/2003,2003,Removal
271,CLE ,Abuse of Position/Authority ,3/31/2003,2003,Suspension - 3 Day
272,NYC ,Failure to Honor Just Debts ,3/31/2003,2003,Resignation
273,NYC ,Failure to Honor Just Debts ,3/31/2003,2003,No Further Action
274,MIA ,Sleeping on Duty ,3/10/2003,2003,Letter of Reprimand
275,NYC ,Unprofessional Conduct ,3/27/2003,2003,Removal
276,CHI ,Misuse of Government Travel Card ,3/28/2003,2003,Suspension - 1 Day
277,HOU ,Loss of Equipment ,4/2/2003,2003,No Further Action
278,HOU ,Absent Without Leave ,4/1/2003,2003,Letter of Counsel
279,LAS ,Failure to Honor Just Debts ,3/25/2003,2003,Resignation
280,WFO ,Failure to Follow Procedure ,2/27/2003,2003,No Further Action
281,WFO ,Failure to Follow Procedure ,2/27/2003,2003,No Further Action
282,LAX ,Failure to Follow Procedure ,4/7/2003,2003,No Further Action
283,LAX ,Failure to Follow Procedure ,4/7/2003,2003,No Further Action
284,PIT ,Unprofessional Conduct ,4/2/2003,2003,Suspension - 5 Day
285,DAL ,Failure to Follow Procedure ,4/4/2003,2003,Verbal Counsel
286,DAL ,Abuse of Position/Authority ,3/13/2003,2003,Suspension - 3 Day
287,DAL,Frequent Flyer Mileage Violation ,3/25/2003,2003,No Further Action
288,NYC ,Sick Leave Violation ,3/13/2003,2003,Verbal Counsel
289,HOU ,Miscellaneous ,3/17/2003,2003,Verbal Counsel
290,HOU ,Loss of Equipment ,3/31/2003,2003,Letter of Counsel
291,NYC ,Unprofessional Conduct ,4/8/2003,2003,No Further Action
292,PHL ,Loss of Equipment ,4/4/2003,2003,Verbal Counsel
293,ORL ,Sleeping on Duty ,4/1/2003,2003,Verbal Counsel
294,DEN ,Failure to Follow Procedure ,4/1/2003,2003,No Further Action
295,DEN ,Failure to Follow Procedure ,4/11/2003,2003,No Further Action
296,DEN ,Failure to Follow Procedure ,4/8/2003,2003,No Further Action
297,LAX ,Unprofessional Conduct ,4/11/2003,2003,Suspension - 1 Day
298,CHI ,Alcohol Policy Violation ,4/8/2003,2003,No Further Action
299,DAL ,Loss of Equipment ,4/9/2003,2003,Verbal Counsel
300,MIA ,Loss of Equipment ,4/9/2003,2003,Verbal Counsel
301,DEN ,Falsification of Records ,4/14/2003,2003,Resignation
302,ORL ,Sleeping on Duty ,4/16/2003,2003,No Further Action
303,ORL ,Sleeping on Duty ,4/16/2003,2003,No Further Action
304,NYC ,Failure to Follow Procedure ,4/14/2003,2003,No Further Action
305,DAL ,Missed Mission ,4/14/2003,2003,Suspension - 5 Day
306,NYC ,Misuse of Government Travel Card ,3/8/2003,2003,Resignation
307,PHL ,Dress Code Violation ,4/15/2003,2003,Verbal Counsel
308,PHL ,Dress Code Violation ,4/15/2003,2003,Verbal Counsel
309,CHI ,Sleeping on Duty ,4/16/2003,2003,Resignation
310,NYC ,Failure to Follow Procedure ,4/16/2003,2003,Letter of Reprimand
311,DAL ,Missed Mission ,4/17/2003,2003,Resignation
312,DAL ,Missed Mission ,4/17/2003,2003,Verbal Counsel
313,DAL,Falsification of Records ,4/18/2003,2003,Resignation
314,DAL ,Falsification of Records ,4/18/2003,2003,Removal
315,DAL ,Falsification of Records ,4/18/2003,2003,Resignation
316,HOU ,Failure to Follow Procedure ,4/22/2003,2003,No Further Action
317,HOU ,Failure to Follow Procedure ,4/22/2003,2003,Resignation
318,PIT ,Misuse of Government Travel Card ,4/22/2003,2003,Resignation
319,HOU ,Loss of Equipment ,4/22/2003,2003,Letter of Counsel
321,CIN ,Misuse of Government Property ,4/17/2003,2003,Verbal Counsel
323,CIN ,Failure to Follow Instruction ,4/24/2003,2003,Removal
324,ORL ,Failure to Follow Procedure ,4/24/2003,2003,Verbal Counsel
325,ATL ,Sleeping on Duty ,4/24/2003,2003,Verbal Counsel
326,ATL ,Sleeping on Duty ,4/24/2003,2003,Verbal Counsel
327,DAL ,Missed Mission ,4/24/2003,2003,Verbal Counsel
328,MIA ,Loss of Equipment ,4/25/2003,2003,Verbal Counsel
329,BOS ,Missed Mission ,4/7/2003,2003,Removal
330,DET ,Criminal Conduct ,4/5/2003,2003,No Further Action
331,CHI ,Failure to Honor Just Debts ,4/24/2003,2003,Resignation
332,PIT ,Failure to Follow Procedure ,4/28/2003,2003,No Further Action
333,PIT ,Failure to Follow Procedure ,4/28/2003,2003,No Further Action
334,ORL ,Unprofessional Conduct ,1/27/2003,2003,Resignation
335,CHI ,Alcohol Policy Violation ,4/8/2003,2003,No Further Action
336,HOU ,Missed Mission ,1/30/2003,2003,Verbal Counsel
337,LAX ,Abuse of Position/Authority ,4/15/2003,2003,Suspension - 2 Day
338,NYC ,Abuse of Position/Authority ,4/23/2003,2003,Removal
339,CHI ,Missed Mission ,4/30/2003,2003,Letter of Counsel
340,CHI ,Missed Mission ,4/30/2003,2003,Letter of Counsel
341,ORL ,Loss of Equipment ,4/29/2003,2003,Letter of Counsel
342,LAS ,SSI/Classified Material Violation ,4/30/2003,2003,Suspension - 13 Day
343,LAS ,Unprofessional Conduct ,4/29/2003,2003,Removal
344,LAS ,Failure to Follow Instruction ,4/30/2003,2003,Resignation
345,DAL,Misuse of Government Property ,4/30/2003,2003,Verbal Counsel
346,DET ,Loss of Equipment ,5/1/2003,2003,Verbal Counsel
347,DEN ,Abuse of Position/Authority ,5/2/2003,2003,Verbal Counsel
348,LAX ,Alcohol Policy Violation ,5/2/2003,2003,Resignation
349,NYC ,Failure to Follow Instruction ,5/1/2003,2003,Removal
350,NYC ,Miscellaneous ,5/2/2003,2003,Resignation
351,HOU ,Loss of Equipment ,5/5/2003,2003,Verbal Counsel
352,HOU ,Absent Without Leave ,5/5/2003,2003,Verbal Counsel
353,LAX ,Unprofessional Conduct ,5/5/2003,2003,Letter of Counsel
354,LAX ,Unprofessional Conduct ,5/5/2003,2003,Letter of Counsel
355,DET ,Missed Mission ,5/5/2003,2003,Suspension - 2 Day
356,LAX ,Misuse of Government Travel Card ,5/7/2003,2003,Removal
357,PIT ,Misuse of Government Travel Card ,5/7/2003,2003,No Further Action
358,DEN ,Failure to Follow Procedure ,5/7/2003,2003,Verbal Counsel
359,CHI ,Failure to Follow Procedure ,5/7/2003,2003,Verbal Counsel
360,CHI ,Missed Mission ,5/7/2003,2003,Resignation
361,NYC ,Making Misstatements/False ,4/25/2003,2003,Removal
362,ORL ,Abuse of Position/Authority ,4/22/2003,2003,Letter of Reprimand
363,LAS ,Loss of Equipment ,5/12/2003,2003,Verbal Counsel
364,CLT ,Unprofessional Conduct ,2/18/2003,2003,No Further Action
365,WFO ,Unprofessional Conduct ,5/15/2003,2003,Suspension - 2 Day
367,LAX ,Failure to Follow Procedure ,5/15/2003,2003,Verbal Counsel
368,LAX ,Failure to Follow Procedure ,5/15/2003,2003,Verbal Counsel
369,NYC ,Loss of Equipment ,5/16/2003,2003,Verbal Counsel
370,MIA ,Loss of Equipment ,5/15/2003,2003,Letter of Reprimand
371,DAL ,Missed Mission ,5/20/2003,2003,Verbal Counsel
372,HOU ,Missed Mission ,5/20/2003,2003,Verbal Counsel
373,HOU ,Loss of Equipment ,5/19/2003,2003,Verbal Counsel
374,HOU ,Failure to Honor Just Debts ,5/16/2003,2003,Suspension - 5 Day
375,HOU ,Criminal Arrest ,4/30/2003,2003,Suspension - 3 Day
376,LAX ,Failure to Honor Just Debts ,5/21/2003,2003,Resignation
377,HOU ,Loss of Equipment ,5/16/2003,2003,Letter of Counsel
378,HOU ,SSI/Classified Material Violation ,5/23/2003,2003,Verbal Counsel
379,ART ,Criminal Arrest ,5/19/2003,2003,Resignation
380,LAX ,Loss of Equipment ,5/22/2003,2003,Suspension - 2 Day
381,CHI ,Unprofessional Conduct ,5/23/2003,2003,Resignation
382,CHI ,Failure to Follow Procedure ,3/21/2003,2003,Verbal Counsel
383,CHI ,Failure to Follow Procedure ,3/21/2003,2003,Verbal Counsel
384,SEA ,Abuse of Position/Authority ,5/27/2003,2003,No Further Action
385,CHI ,Failure to Honor Just Debts ,3/13/2003,2003,Suspension - 1 Day
386,DAL ,Frequent Flyer Mileage Violation ,5/29/2003,2003,No Further Action
387,CHI ,Missed Mission ,5/28/2003,2003,Removal
388,DAL,Loss of Equipment ,5/30/2003,2003,Letter of Counsel
389,LAS ,Failure to Follow Procedure ,6/3/2003,2003,Resignation
390,NYC ,Criminal Arrest ,5/27/2003,2003,Suspension - 2 Day
391,MIA ,Loss of Equipment ,5/7/2003,2003,Letter of Counsel
392,MIA ,Loss of Equipment ,6/2/2003,2003,Letter of Counsel
393,NYC ,Unprofessional Conduct ,5/8/2003,2003,Letter of Counsel
395,WFO ,Unprofessional Conduct ,5/6/2003,2003,No Further Action
396,LAX ,Criminal Arrest ,6/2/2003,2003,Resignation
397,DET ,Missed Mission ,6/2/2003,2003,Letter of Reprimand
398,HOU ,Loss of Equipment ,6/9/2003,2003,Verbal Counsel
399,HOU ,Loss of Equipment ,6/10/2003,2003,Verbal Counsel
400,LAX ,Failure to Honor Just Debts ,6/10/2003,2003,Letter of Counsel
401,LAX ,Failure to Honor Just Debts ,6/10/2003,2003,Letter of Counsel
402,LAX ,Failure to Honor Just Debts ,6/10/2003,2003,Letter of Counsel
403,DAL ,Failure to Honor Just Debts ,6/10/2003,2003,Verbal Counsel
404,ATL ,Unprofessional Conduct ,5/28/2003,2003,Suspension - 3 Day
405,DAL ,LEO Action ,6/11/2003,2003,No Further Action
406,HOU ,Loss of Equipment ,6/12/2003,2003,Letter of Counsel
407,DEN ,Failure to Honor Just Debts ,6/12/2003,2003,Letter of Counsel
408,CHI ,Failure to Follow Procedure ,6/16/2003,2003,Letter of Counsel
409,LAX ,Loss of Equipment ,6/16/2003,2003,Letter of Counsel
410,CIN ,Missed Mission ,6/17/2003,2003,Letter of Reprimand
411,DET ,Misuse of Government Travel Card ,6/17/2003,2003,Letter of Reprimand
412,DAL ,Missed Mission ,6/19/2003,2003,Letter of Counsel
413,HOU ,Missed Mission ,6/18/2003,2003,No Further Action
414,HOU ,Failure to Follow Procedure ,6/18/2003,2003,No Further Action
415,LAX ,Misuse of Government Travel Card ,6/18/2003,2003,Removal
416,LAX ,Abuse of Position/Authority ,6/18/2003,2003,Verbal Counsel
417,HOU ,Failure to Honor Just Debts ,6/20/2003,2003,Letter of Reprimand
418,HOU ,Loss of Equipment ,6/20/2003,2003,Verbal Counsel
419,HOU ,Sleeping on Duty ,6/23/2003,2003,Letter of Reprimand
420,HOU ,Sleeping on Duty ,6/23/2003,2003,Suspension - 1 Day
421,DET ,Misuse of Government Travel Card ,6/16/2003,2003,Resignation
422,MIA ,Failure to Follow Procedure ,6/27/2003,2003,Resignation
423,HOU ,Loss of Equipment ,6/27/2003,2003,Letter of Counsel
424,WFO ,Failure to Follow Procedure ,5/23/2003,2003,No Further Action
425,WFO ,Failure to Follow Procedure ,5/23/2003,2003,No Further Action
426,CLE ,SSI/Classified Material Violation ,6/4/2003,2003,Verbal Counsel
427,MIA ,Unprofessional Conduct ,6/19/2003,2003,Resignation
428,ATL ,Loss of Equipment ,6/18/2003,2003,Verbal Counsel
429,PIT ,Loss of Equipment ,6/25/2003,2003,Verbal Counsel
430,ATL ,Loss of Equipment ,5/12/2003,2003,No Further Action
431,BOS ,Loss of Equipment ,7/3/2003,2003,Verbal Counsel
432,NYC ,Criminal Arrest ,6/30/2003,2003,Suspension - 1 Day
433,WFO ,Failure to Follow Procedure ,6/30/2003,2003,Verbal Counsel
434,WFO ,Failure to Follow Procedure ,6/30/2003,2003,No Further Action
435,SEA ,Failure to Follow Instruction ,7/2/2003,2003,Suspension - 5 Day
436,ATL ,Abuse of Position/Authority ,5/5/2003,2003,Suspension - 7 Day
437,ATL ,Failure to Follow Procedure ,5/5/2003,2003,No Further Action
438,WFO ,Failure to Honor Just Debts ,7/10/2003,2003,Suspension - 3 Day
439,WFO ,Misuse of Government Travel Card ,7/10/2003,2003,Resignation
440,WFO ,Missed Mission ,7/10/2003,2003,Suspension - 3 Day
441,LAX ,Loss of Equipment ,7/14/2003,2003,Letter of Reprimand
442,ATL ,Failure to Follow Procedure ,7/14/2003,2003,No Further Action
443,ATL ,Failure to Follow Procedure ,7/14/2003,2003,No Further Action
444,CLT ,Misuse of Government Travel Card ,7/11/2003,2003,Removal
445,LAX ,Failure to Follow Procedure ,7/3/2003,2003,Letter of Counsel
446,LAX ,Failure to Follow Procedure ,7/3/2003,2003,Letter of Counsel
447,HOU ,Missed Mission ,7/15/2003,2003,Suspension - 2 Day
448,CHI ,Misuse of Government Property ,7/7/2003,2003,Removal
449,LAS ,Missed Mission ,7/15/2003,2003,Verbal Counsel
450,DET ,Loss of Equipment ,7/12/2003,2003,Suspension - 1 Day
451,MIA ,Loss of Equipment ,7/16/2003,2003,No Further Action
452,ORL ,Failure to Honor Just Debts ,7/16/2003,2003,Resignation
453,ORL ,Unprofessional Conduct ,7/16/2003,2003,No Further Action
454,WFO ,Failure to Follow Instruction ,7/2/2003,2003,No Further Action
455,ORL ,Abuse of Position/Authority ,7/16/2003,2003,Suspension - 1 Day
456,WFO ,Failure to Follow Procedure ,7/17/2003,2003,No Further Action
457,WFO ,Failure to Follow Procedure ,7/17/2003,2003,No Further Action
458,MIA ,Loss of Equipment ,7/16/2003,2003,Verbal Counsel
459,ATL ,Failure to Follow Procedure ,7/17/2003,2003,Suspension - 1 Day
460,DAL ,Loss of Equipment ,7/21/2003,2003,Letter of Counsel
461,LAS ,Failure to Honor Just Debts ,7/23/2003,2003,Suspension - 5 Day
462,CIN ,Miscellaneous ,7/24/2003,2003,Verbal Counsel
